training_seed,condition_id,condition_family,joint_one_based,success_count,success_rate,success_rate_delta_vs_baseline,desired_revolutions_mean,desired_revolutions_delta_mean,desired_revolutions_delta_ci_low,desired_revolutions_delta_ci_high,forward_body_lengths_mean,forward_body_lengths_delta_mean,forward_body_lengths_delta_ci_low,forward_body_lengths_delta_ci_high,desired_active_rotation_fraction_mean,desired_active_rotation_fraction_delta_mean,desired_active_rotation_fraction_delta_ci_low,desired_active_rotation_fraction_delta_ci_high
9205,J06_K1_OFF,joint_k1_ablation,6.0,0,0.0,-1.0,0.005757947382784003,-1.5989866582732917,-1.7428715109092074,-1.4313992521548322,0.026208144977984245,-2.681094768710355,-2.9593101582766,-2.3871479750173936,0.510830363905787,-0.3514786983290998,-0.3896675709061112,-0.3079810760509711
9205,J07_K1_OFF,joint_k1_ablation,7.0,15,0.75,-0.25,1.0793284964338972,-0.5254161092221787,-0.6908390247692852,-0.37122159645774144,1.797332048453502,-0.9099708652348376,-1.2366141693984054,-0.6057056914250228,0.7896261556943208,-0.0726829065405659,-0.11076683387250547,-0.03559025585921583
9205,J08_K1_OFF,joint_k1_ablation,8.0,17,0.85,-0.15000000000000002,1.3865536074172866,-0.21819099823878899,-0.4947405513876707,0.021032819822704645,2.2978389572923685,-0.40946395639597083,-0.8966566582895601,0.04453603169913839,0.8380245922834394,-0.02428446995144723,-0.08102919986484988,0.025466903732740947
9205,J01_K2_OFF,joint_k2_ablation,1.0,0,0.0,-1.0,0.20817899381399424,-1.3965656118420815,-1.5130043190491653,-1.2696812383251745,0.436098627506432,-2.271204286181908,-2.5155742292393795,-1.9822193388891123,0.5683053908908665,-0.2940036713440203,-0.3220752040396767,-0.26235117501624694
9205,J02_K2_OFF,joint_k2_ablation,2.0,11,0.55,-0.44999999999999996,1.0067169212946483,-0.5980276843614275,-0.7589633014814512,-0.44105811955252944,2.207149010147339,-0.5001539035410001,-0.9372272515664346,-0.127504902760081,0.7552577626339824,-0.10705129960090445,-0.14717062798867145,-0.07014167406721389
9205,J03_K2_OFF,joint_k2_ablation,3.0,20,1.0,0.0,1.783341043699106,0.1785964380430305,0.049243459761372226,0.29099967235302554,2.889242859528885,0.18193994584054538,-0.06355787107448663,0.4326617286243119,0.850848533628783,-0.011460528606103592,-0.03758275589971238,0.015611032128430695
9205,J04_K2_OFF,joint_k2_ablation,4.0,19,0.95,-0.050000000000000044,1.5137383434596934,-0.09100626219638233,-0.2560381020857408,0.05889342617517792,2.7871375265291802,0.07983461284084106,-0.210308032311191,0.3722615885826175,0.865203022043436,0.002893959808549251,-0.022321673176356287,0.029677463422184764
9205,J05_K2_OFF,joint_k2_ablation,5.0,20,1.0,0.0,1.6789518380993904,0.0742072324433149,-0.0380331422338812,0.19191476995451456,3.2158933414153936,0.5085904277270535,0.24818196417126756,0.7529394223410831,0.8593164686282236,-0.002992593606663191,-0.02649402482283448,0.022704267218467217
9205,J06_K2_OFF,joint_k2_ablation,6.0,20,1.0,0.0,1.5741144532245455,-0.030630152431530156,-0.16533154567038263,0.11180391050193407,3.0920186167232027,0.38471570303486324,0.05101381369768046,0.7124064213104543,0.8490850763447446,-0.013223985890142242,-0.04140028534732132,0.015984688817921547
9205,J07_K2_OFF,joint_k2_ablation,7.0,20,1.0,0.0,1.7070779749836256,0.10233336932754986,-0.011892760194214202,0.21719783258208894,2.8443755489613034,0.13707263527296423,-0.1801258968754923,0.4532358615100114,0.86787024743714,0.005561185202253271,-0.01951760502577388,0.03262219530408094
9205,J08_K2_OFF,joint_k2_ablation,8.0,20,1.0,0.0,1.5514076963743513,-0.05333690928172442,-0.2213622198347761,0.11928791542077873,2.6171805084279876,-0.09012240526035176,-0.36648229800352494,0.18810442658083107,0.848150546473818,-0.01415851576106858,-0.04505769162967745,0.01742435544329118
